,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
70,87,34,127,44,198,14,0,2,13,22.18,23.0,new,experiments/results/DP_2_2/TB_5mill_bs100/70.onnx,DP,2,2,11667.145188808441,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,70
71,102,42,166,65,208,33,0,1,5,25.14,29.0,new,experiments/results/DP_2_2/TB_5mill_bs100/71.onnx,DP,2,2,11812.257318973541,3550000,1e-05,20,0.1,15,True,10000,True,10000,True,71
72,41,25,52,29,158,4,0,1,4,17.62,14.0,new,experiments/results/DP_2_2/TB_5mill_bs100/72.onnx,DP,2,2,11956.648144721985,3600000,1e-05,20,0.1,15,True,10000,True,10000,True,72
73,160,55,272,89,254,39,2,1,20,12.72,46.0,new,experiments/results/DP_2_2/TB_5mill_bs100/73.onnx,DP,2,2,12103.372812271118,3650000,1e-05,20,0.1,15,True,10000,True,10000,True,73
74,142,31,240,41,321,56,0,1,15,11.66,53.0,new,experiments/results/DP_2_2/TB_5mill_bs100/74.onnx,DP,2,2,12250.280461549759,3700000,1e-05,20,0.1,15,True,10000,True,10000,True,74
75,89,34,124,44,186,17,0,2,9,21.62,31.0,new,experiments/results/DP_2_2/TB_5mill_bs100/75.onnx,DP,2,2,12396.616234779358,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,75
76,42,28,52,35,175,4,0,1,2,17.62,17.0,new,experiments/results/DP_2_2/TB_5mill_bs100/76.onnx,DP,2,2,12542.891321659088,3800000,1e-05,20,0.1,15,True,10000,True,10000,True,76
77,35,28,43,35,182,5,0,1,0,17.62,16.0,new,experiments/results/DP_2_2/TB_5mill_bs100/77.onnx,DP,2,2,12690.342539548874,3850000,1e-05,20,0.1,15,True,10000,True,10000,True,77
78,73,45,106,68,186,26,0,1,3,21.62,29.0,new,experiments/results/DP_2_2/TB_5mill_bs100/78.onnx,DP,2,2,12838.192420482635,3900000,1e-05,20,0.1,15,True,10000,True,10000,True,78
79,127,28,204,35,255,46,0,1,13,28.66,34.0,new,experiments/results/DP_2_2/TB_5mill_bs100/79.onnx,DP,2,2,12983.457647323608,3950000,1e-05,20,0.1,15,True,10000,True,10000,True,79
80,50,28,71,35,186,4,1,2,3,18.18,19.0,new,experiments/results/DP_2_2/TB_5mill_bs100/80.onnx,DP,2,2,13129.09164428711,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,80
81,104,28,157,35,202,27,0,1,14,24.66,34.0,new,experiments/results/DP_2_2/TB_5mill_bs100/81.onnx,DP,2,2,13274.130944252014,4050000,1e-05,20,0.1,15,True,10000,True,10000,True,81
82,71,34,99,44,194,14,0,1,13,20.18,26.0,new,experiments/results/DP_2_2/TB_5mill_bs100/82.onnx,DP,2,2,13418.715017557144,4100000,1e-05,20,0.1,15,True,10000,True,10000,True,82
83,78,47,113,75,248,28,0,1,2,22.18,35.0,new,experiments/results/DP_2_2/TB_5mill_bs100/83.onnx,DP,2,2,13565.425724983215,4150000,1e-05,20,0.1,15,True,10000,True,10000,True,83
84,79,28,110,35,185,23,0,2,2,21.62,27.0,new,experiments/results/DP_2_2/TB_5mill_bs100/84.onnx,DP,2,2,13709.346066474915,4200000,1e-05,20,0.1,15,True,10000,True,10000,True,84
85,49,28,69,35,167,15,0,1,2,18.66,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/85.onnx,DP,2,2,13855.376774549484,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,85
86,114,60,183,96,217,35,0,1,2,28.66,51.0,new,experiments/results/DP_2_2/TB_5mill_bs100/86.onnx,DP,2,2,14002.324865102768,4300000,1e-05,20,0.1,15,True,10000,True,10000,True,86
87,71,34,98,44,222,23,0,2,2,21.14,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/87.onnx,DP,2,2,14147.820885419846,4350000,1e-05,20,0.1,15,True,10000,True,10000,True,87
88,61,28,94,35,170,9,1,9,8,19.14,15.0,new,experiments/results/DP_2_2/TB_5mill_bs100/88.onnx,DP,2,2,14293.669562101364,4400000,1e-05,20,0.1,15,True,10000,True,10000,True,88
89,133,34,211,44,272,17,2,2,14,26.18,45.0,new,experiments/results/DP_2_2/TB_5mill_bs100/89.onnx,DP,2,2,14440.718663215637,4450000,1e-05,20,0.1,15,True,10000,True,10000,True,89
