,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
65,28028.0,4077,2833,3,3,DP,11,746.1340928077698,1300000,-91.15590950936041,32,0.7571455,-0.2856828,0.05065757,0.8624939,0.8650459,-7.1525574e-07,-3.207632,-2.1106517,-0.182924,-1.114085,-2.3387685
66,16.0,68,46,2,2,DP,11,2944.2354714870453,4550000,-97.11369064808811,33,0.12017637,-0.9971987,-0.2866379,0.62965137,0.7921972,-4.7683716e-07,-1.8336333,-0.87283814,-0.81341183,-1.989344,-1.4506011
67,7099.0,2528,1308,3,3,DP,11,2944.2354714870453,4550000,-97.11369064808811,33,0.12017637,-0.9971987,-0.2866379,0.62965137,0.7921972,-4.7683716e-07,-1.8336333,-0.87283814,-0.81341183,-1.989344,-1.4506011
68,86.0,280,173,2,2,DP,11,1772.3520529270172,2900000,-102.1581756091987,34,0.6576369,-0.81474894,-0.022050217,0.87948364,0.83867276,-4.7683716e-07,-2.3873303,-1.2285956,-0.30845913,-2.0946004,-1.4511344
69,52462.0,5649,2833,3,3,DP,11,1772.3520529270172,2900000,-102.1581756091987,34,0.6576369,-0.81474894,-0.022050217,0.87948364,0.83867276,-4.7683716e-07,-2.3873303,-1.2285956,-0.30845913,-2.0946004,-1.4511344
70,81.0,190,128,2,2,DP,11,1472.6370944976807,2450000,-105.54969521998716,35,0.53457624,-0.9128761,-0.2916611,0.67101645,0.74758196,-5.9604645e-07,-2.6080391,-1.3918478,-0.43164924,-1.5205323,-1.7552818
71,7717.0,2290,1424,3,3,DP,11,1472.6370944976807,2450000,-105.54969521998716,35,0.53457624,-0.9128761,-0.2916611,0.67101645,0.74758196,-5.9604645e-07,-2.6080391,-1.3918478,-0.43164924,-1.5205323,-1.7552818
72,82.0,218,172,2,2,DP,11,3433.108044862747,5200000,-77.02351267529787,36,0.59468454,-0.7674926,-0.06984744,0.64763975,0.92683077,-2.3841858e-07,-1.3691626,-0.62354946,-0.36277646,-0.83292234,-0.73585486
73,3529.0,1471,1217,3,3,DP,11,3433.108044862747,5200000,-77.02351267529787,36,0.59468454,-0.7674926,-0.06984744,0.64763975,0.92683077,-2.3841858e-07,-1.3691626,-0.62354946,-0.36277646,-0.83292234,-0.73585486
74,20.0,84,54,2,2,DP,11,2256.7086985111237,3600000,-107.5180215239191,37,0.23266087,-0.9963981,-0.4450819,0.8983348,0.69133776,-5.9604645e-07,-1.9802976,-1.0412636,-0.73367506,-1.9237678,-1.6093215
75,7858.0,2838,1247,3,3,DP,11,2256.7086985111237,3600000,-107.5180215239191,37,0.23266087,-0.9963981,-0.4450819,0.8983348,0.69133776,-5.9604645e-07,-1.9802976,-1.0412636,-0.73367506,-1.9237678,-1.6093215
