,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
80,6.0,77,49,2,2,AT,11,44.25147199630737,82000,1e-05,20,0.1,-47.62866,40,0.44456917,-0.11224699,-0.8264633,0.9638876,1.8414121,-2.3841858e-06,-6.7864337,-4.6999927,0.36181504,-1.9595126,-5.5666194
81,260.0,749,453,3,3,AT,11,44.25147199630737,82000,1e-05,20,0.1,-47.62866,40,0.44456917,-0.11224699,-0.8264633,0.9638876,1.8414121,-2.3841858e-06,-6.7864337,-4.6999927,0.36181504,-1.9595126,-5.5666194
82,6.0,76,49,2,2,AT,11,45.35921669006348,84000,1e-05,20,0.1,-47.370747,41,0.4605108,-0.13709378,-0.8151202,1.041812,1.8850507,-1.9073486e-06,-6.738653,-4.63261,0.37026167,-1.9653895,-5.509598
83,244.0,762,454,3,3,AT,11,45.35921669006348,84000,1e-05,20,0.1,-47.370747,41,0.4605108,-0.13709378,-0.8151202,1.041812,1.8850507,-1.9073486e-06,-6.738653,-4.63261,0.37026167,-1.9653895,-5.509598
84,5.0,74,45,2,2,AT,11,46.44189691543579,86000,1e-05,20,0.1,-48.03337,42,0.6353692,-0.16465402,-0.83180994,0.9941889,1.8726708,-1.66893e-06,-6.571029,-4.541727,0.3620382,-2.0560894,-5.440669
85,273.0,832,461,3,3,AT,11,46.44189691543579,86000,1e-05,20,0.1,-48.03337,42,0.6353692,-0.16465402,-0.83180994,0.9941889,1.8726708,-1.66893e-06,-6.571029,-4.541727,0.3620382,-2.0560894,-5.440669
86,8.0,72,45,2,2,AT,11,47.51718616485596,88000,1e-05,20,0.1,-47.820526,43,0.60678226,-0.20591211,-0.81519943,0.9829604,1.96153,-1.9073486e-06,-6.723349,-4.6801476,0.36925274,-1.8967425,-5.52212
87,285.0,696,418,3,3,AT,11,47.51718616485596,88000,1e-05,20,0.1,-47.820526,43,0.60678226,-0.20591211,-0.81519943,0.9829604,1.96153,-1.9073486e-06,-6.723349,-4.6801476,0.36925274,-1.8967425,-5.52212
88,9.0,76,49,2,2,AT,11,48.59452295303345,90000,1e-05,20,0.1,-47.58446,44,0.4420016,-0.15089822,-0.75214005,0.9766948,1.9913127,-2.1457672e-06,-6.663154,-4.6197414,0.36366755,-1.8824608,-5.5489106
89,254.0,723,442,3,3,AT,11,48.59452295303345,90000,1e-05,20,0.1,-47.58446,44,0.4420016,-0.15089822,-0.75214005,0.9766948,1.9913127,-2.1457672e-06,-6.663154,-4.6197414,0.36366755,-1.8824608,-5.5489106
90,9.0,73,50,2,2,AT,11,49.70622944831848,92000,1e-05,20,0.1,-48.214424,45,0.36734518,-0.18193173,-0.8171422,1.1080753,2.0140622,-1.9073486e-06,-6.598563,-4.710282,0.35665247,-1.872742,-5.4999337
91,289.0,713,442,3,3,AT,11,49.70622944831848,92000,1e-05,20,0.1,-48.214424,45,0.36734518,-0.18193173,-0.8171422,1.1080753,2.0140622,-1.9073486e-06,-6.598563,-4.710282,0.35665247,-1.872742,-5.4999337
92,9.0,76,49,2,2,AT,11,50.78975772857666,94000,1e-05,20,0.1,-48.099995,46,0.5039857,-0.20946479,-0.78590095,1.0210314,2.0156722,-1.4305115e-06,-6.596707,-4.5820336,0.35214803,-1.8697829,-5.4934125
93,261.0,698,417,3,3,AT,11,50.78975772857666,94000,1e-05,20,0.1,-48.099995,46,0.5039857,-0.20946479,-0.78590095,1.0210314,2.0156722,-1.4305115e-06,-6.596707,-4.5820336,0.35214803,-1.8697829,-5.4934125
94,9.0,80,50,2,2,AT,11,51.86949968338013,96000,1e-05,20,0.1,-48.797577,47,0.4447461,-0.17869186,-0.80109596,0.9574068,1.9825233,-1.9073486e-06,-6.440748,-4.453517,0.33885717,-1.9584497,-5.437219
95,289.0,752,447,3,3,AT,11,51.86949968338013,96000,1e-05,20,0.1,-48.797577,47,0.4447461,-0.17869186,-0.80109596,0.9574068,1.9825233,-1.9073486e-06,-6.440748,-4.453517,0.33885717,-1.9584497,-5.437219
96,4.0,79,50,2,2,AT,11,52.945436239242554,98000,1e-05,20,0.1,-48.90998,48,0.5014854,-0.08950162,-0.7794921,0.96498126,1.9932415,-2.1457672e-06,-6.544658,-4.5613847,0.3323279,-1.920532,-5.480035
97,217.0,706,432,3,3,AT,11,52.945436239242554,98000,1e-05,20,0.1,-48.90998,48,0.5014854,-0.08950162,-0.7794921,0.96498126,1.9932415,-2.1457672e-06,-6.544658,-4.5613847,0.3323279,-1.920532,-5.480035
98,5.0,75,49,2,2,AT,11,54.05727744102478,100000,1e-05,20,0.1,-48.14649,49,0.5388778,-0.029421091,-0.6688336,0.90034175,2.008468,-2.3841858e-06,-6.5952687,-4.4977074,0.335362,-1.7879071,-5.522414
99,245.0,716,426,3,3,AT,11,54.05727744102478,100000,1e-05,20,0.1,-48.14649,49,0.5388778,-0.029421091,-0.6688336,0.90034175,2.008468,-2.3841858e-06,-6.5952687,-4.4977074,0.335362,-1.7879071,-5.522414
