,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx,Exception
150,241.0,30.0,695.0,48.0,862.0,329.0,0.0,1.0,0.0,26.89,398.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,12,2,
151,273.0,38.0,803.0,56.0,943.0,409.0,0.0,1.0,0.0,92.08,421.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,13,2,
152,307.0,27.0,919.0,45.0,1026.0,489.0,0.0,1.0,0.0,28.55,478.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,14,2,
153,343.0,36.0,1043.0,54.0,1185.0,576.0,0.0,1.0,0.0,133.82,538.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,15,2,
154,8.0,0.0,7.0,0.0,193.0,0.0,0.0,0.0,1.0,0.0,21.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,1,2,
155,18.0,0.0,19.0,0.0,197.0,0.0,0.0,0.0,2.0,0.0,30.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,2,2,
156,219.0,150.0,473.0,262.0,513.0,211.0,0.0,1.0,0.0,58.85,227.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,3,2,
157,345.0,150.0,826.0,262.0,842.0,402.0,0.0,1.0,0.0,32.23,438.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,4,2,
158,513.0,159.0,1339.0,279.0,1534.0,685.0,0.0,1.0,0.0,43.15,824.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,5,2,
159,729.0,151.0,2050.0,263.0,2912.0,1113.0,0.0,1.0,0.0,130.53,1518.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,6,2,
160,,,,,,,,,,,,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,3,7,2,
